"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1954/1955","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","591433","","","","0"
"1955/1956","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","674446","","","","0"
"1956/1957","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","776117","","","","0"
"1957/1958","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","896367","","","","0"
"1958/1959","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1015558","","","","0"
"1959/1960","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1162397","","","","0"
"1960/1961","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1328294","","","","0"
"1961/1962","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1499459","","","","0"
"1962/1963","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1808782","","","","0"
"1963/1964","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","1879077","","","","0"
"1964/1965","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","2066156","","","","0"
"1965/1966","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","2410798","","","","0"
"1966/1967","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","2790479","","","","0"
"1967/1968","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","3229499","","","","0"
"1968/1969","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","3774308","","","","0"
"1969/1970","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","4280444","","","","0"
"1970/1971","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","4879046","","","","0"
"1971/1972","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","5387527","","","","0"
"1972/1973","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","5623103","","","","0"
"1973/1974","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","6248401","","","","0"
"1974/1975","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","7187140","","","","0"
"1975/1976","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","8342849","","","","0"
"1976/1977","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","10070893","","","","0"
"1977/1978","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","11493963","","","","0"
"1978/1979","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","11962831","","","","0"
"1979/1980","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","13217935","","","","0"
"1980/1981","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","14567989","","","","0"
"1981/1982","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","16703178","","","","0"
"1982/1983","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","18532387","","","","0"
"1983/1984","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","19707933","","","","0"
