"Immigrant status and period of immigration by place of birth and citizenship: Canada, provinces and territories and census metropolitan areas with parts"
"Frequency: Occasional"
"Table: 98-10-0302-01"
"Release date: 2022-10-26"
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part"
"Universe: Persons in private households in occupied private dwellings, 2021 Census — 25% Sample data"
"Variable List: Place of birth (290), Citizenship (9), Age (8D), Gender (3), Statistics (3), Immigrant status and period of immigration (11)"

"Geography","Canada i1",,,
"Citizenship (9) 1","Total - Citizenship 6",,,
"Age (8D) 2","Total - Age",,,
"Gender (3) 3 4","Total - Gender",,,
"Statistics (3)","Count",,,
"Immigrant status and period of immigration (11)","1980 to 1990","1991 to 2000","2001 to 2010","2011 to 2021 7"
"Place of birth (290) 5","2021","2021","2021","2021"
"Greenland","0","10","0","0"
"Saint Pierre and Miquelon","55","10","40","30"
"United States of America","25,760","24,815","48,470","70,530"
"Belize","355","280","440","470"
"Costa Rica","630","835","1,620","1,330"
"El Salvador","19,100","16,185","6,410","6,760"
"Guatemala","5,315","6,890","2,200","2,670"
"Honduras","715","2,765","1,545","3,640"
"Mexico","6,600","12,505","27,835","36,895"
"Nicaragua","3,730","4,710","1,005","1,090"
"Panama","220","1,370","470","565"
"Anguilla","10","10","30","10"
"Antigua and Barbuda","565","225","180","365"
"Aruba","55","25","20","55"
"Bahamas","180","215","245","1,155"
"Barbados","2,050","1,465","1,060","1,325"
"Bermuda","215","185","300","290"
"Bonaire, Sint Eustatius and Saba","0","0","0","0"
"Cayman Islands","10","20","10","125"
"Cuba","645","2,895","7,670","7,960"
"Curaçao","85","40","25","45"
"Dominica","645","570","415","310"
"Dominican Republic","1,475","2,750","2,820","5,980"
"Grenada","1,300","2,745","2,285","1,055"
"Guadeloupe","70","65","195","265"
"Haiti","16,590","15,920","20,660","32,695"
"Jamaica","26,430","27,800","18,035","26,150"
"Martinique","70","60","145","310"
"Montserrat","115","90","25","10"
"Puerto Rico","35","55","145","210"
"Saint Barthélemy","0","0","0","0"
"Saint Kitts and Nevis","445","130","130","155"
"Saint Lucia","710","800","1,530","2,820"
"Saint Martin (French part)","0","0","10","50"
"Saint Vincent and the Grenadines","1,405","2,090","3,450","3,870"
"Sint Maarten (Dutch part)","0","0","25","65"
"Trinidad and Tobago","10,575","17,440","7,510","4,095"
"Turks and Caicos Islands","0","0","15","60"
"Virgin Islands, British","15","15","20","30"
"Virgin Islands, United States","10","0","20","15"
"Argentina","2,600","3,620","6,215","2,590"
"Bolivia 8","410","810","1,205","1,045"
"Brazil","2,030","4,525","11,395","27,755"
"Chile","7,320","4,675","3,520","3,150"
"Colombia","2,440","5,945","41,580","27,095"
